"","PCW6","PCW7","PCW8","PCW9","PCW10","PCW11"
"assigned",0.56794425087108,0.809160305343511,0.776435045317221,0.742236024844721,0.919449901768173,0.949622166246851
"unassigned",0.43205574912892,0.190839694656489,0.223564954682779,0.257763975155279,0.0805500982318271,0.0503778337531486
"Midbrain.Neuron",0.190184049079755,0.207547169811321,0.361867704280156,0.405857740585774,0.188034188034188,0.0291777188328912
"Midbrain.Prog",0.184049079754601,0.160377358490566,0.136186770428016,0.158995815899582,0.173076923076923,0.190981432360743
"Forebrain.Neuron",0.0184049079754601,0.0471698113207547,0.0622568093385214,0.0753138075313808,0.0213675213675214,0.0238726790450928
"Forebrain.Prog",0.239263803680982,0.141509433962264,0.167315175097276,0.0502092050209205,0.0918803418803419,0.164456233421751
"Hindbrain.Neuron",0.0306748466257669,0.132075471698113,0.0739299610894942,0.158995815899582,0.0854700854700855,0.026525198938992
"Hindbrain.Prog",0.276073619631902,0.235849056603774,0.171206225680934,0.0753138075313808,0.126068376068376,0.206896551724138
"NRS.Neuron",0,0,0,0,0,0
"NRS.Prog",0,0,0,0,0,0
"nonNeural",0.0613496932515337,0.0754716981132075,0.0272373540856031,0.0753138075313808,0.314102564102564,0.358090185676393
"DA N",0.0184049079754601,0.122641509433962,0.0894941634241245,0.104602510460251,0.0854700854700855,0.0185676392572944
"Cholin N",0.104294478527607,0.150943396226415,0.0933852140077821,0.0836820083682008,0.0491452991452991,0.0397877984084881
"GABA N",0,0.0849056603773585,0.0155642023346304,0.330543933054393,0.0918803418803419,0.0106100795755968
"Glu N",0,0,0,0.00418410041841004,0.00641025641025641,0
"Ser N",0,0,0,0.00836820083682008,0.032051282051282,0.00795755968169761
"CA10+TFAP2B+ N",0,0,0,0,0,0
"FSTL4+RELN+ N",0,0,0,0,0,0
"LHX2+LHX9+ N",0,0,0,0.00836820083682008,0.00213675213675214,0
"LHX5+OTP+ N",0,0.00943396226415094,0,0.00418410041841004,0.0170940170940171,0
"SIM1+PITX2+ N",0.116564417177914,0.0188679245283019,0.299610894941634,0.096234309623431,0.0106837606837607,0.0026525198938992
"Radial Glia",0.607361963190184,0.462264150943396,0.392996108949416,0.255230125523013,0.126068376068376,0.124668435013263
"Neuroblast",0.0920245398773006,0.0754716981132075,0.0817120622568093,0.0167364016736402,0.00641025641025641,0.00795755968169761
"Oligo",0,0,0,0.00418410041841004,0.0641025641025641,0.119363395225464
"Neural Crest",0,0,0,0,0,0
"Glioblast",0,0,0,0.00836820083682008,0.194444444444444,0.310344827586207
"Epithelium",0,0,0,0,0,0
"Mesoderm",0.0184049079754601,0.0188679245283019,0.0155642023346304,0.0125523012552301,0.235042735042735,0.183023872679045
"LPM",0,0,0,0,0,0
"Endothelium",0.00613496932515337,0.0188679245283019,0,0.0209205020920502,0.0491452991452991,0.116710875331565
"Blood",0,0,0,0.0209205020920502,0.00427350427350427,0
"Immune",0,0.00943396226415094,0.0116731517509728,0.0167364016736402,0.0128205128205128,0.0318302387267905
"Notochord",0.0368098159509202,0.0283018867924528,0,0.00418410041841004,0.0128205128205128,0.026525198938992
"Endoderm",0,0,0,0,0,0
"Midbrain.DA N",1,0.615384615384615,0.521739130434783,0.8,0.9,0.571428571428571
"Forebrain.DA N",0,0.153846153846154,0.304347826086957,0.16,0.075,0.428571428571429
"Hindbrain.DA N",0,0.230769230769231,0.173913043478261,0.04,0.025,0
